app.action-bar.offline	Offline	components\ui\AppActionBar.vue
app.action-bar.view-instance	View instance	components\ui\AppActionBar.vue
app.action-bar.show-more-running-instances	Show more running instances	components\ui\AppActionBar.vue
app.action-bar.hide-more-running-instances	Hide more running instances	components\ui\AppActionBar.vue
app.action-bar.primary-instance	Primary instance	components\ui\AppActionBar.vue
app.action-bar.make-primary-instance	Make primary instance	components\ui\AppActionBar.vue
app.action-bar.stop-instance	Stop instance	components\ui\AppActionBar.vue
app.action-bar.view-logs	View logs	components\ui\AppActionBar.vue
app.action-bar.no-instances-running	No instances running	components\ui\AppActionBar.vue
app.action-bar.downloading-java	Downloading Java {version}	components\ui\AppActionBar.vue
app.action-bar.downloads	Downloads	components\ui\AppActionBar.vue
app.action-bar.view-active-downloads	View active downloads	components\ui\AppActionBar.vue
app.action-bar.update	Update	components\ui\AppActionBar.vue
app.action-bar.downloading-update	Downloading update	components\ui\AppActionBar.vue
app.action-bar.reload-to-update	Reload to update	components\ui\AppActionBar.vue
app.error-modal.title.error	An error occurred	components\ui\ErrorModal.vue
app.error-modal.title.minecraft-auth	Unable to sign in to Minecraft	components\ui\ErrorModal.vue
app.error-modal.title.minecraft-sign-in	Sign in to Minecraft	components\ui\ErrorModal.vue
app.error-modal.title.directory-move	Could not change app directory	components\ui\ErrorModal.vue
app.error-modal.title.no-loader	No loader selected	components\ui\ErrorModal.vue
app.error-modal.title.state-init	Error initializing Modrinth App	components\ui\ErrorModal.vue
app.error-modal.network-issues	Network issues	components\ui\ErrorModal.vue
app.error-modal.network-issues.description	It looks like there were issues with the Modrinth App connecting to Microsoft's servers. This is often the result of a poor connection, so we recommend trying again to see if it works. If issues continue to persist, follow the steps in	components\ui\ErrorModal.vue
app.error-modal.network-issues.description-suffix	to troubleshoot.	components\ui\ErrorModal.vue
app.error-modal.hosts-file.description	The Modrinth App tried to connect to Microsoft / Xbox / Minecraft services, but the remote server rejected the connection. This may indicate that these services are blocked by the hosts file. Please visit	components\ui\ErrorModal.vue
app.error-modal.hosts-file.description-suffix	for steps on how to fix the issue.	components\ui\ErrorModal.vue
app.error-modal.our-support-article	our support article	components\ui\ErrorModal.vue
app.error-modal.try-another-account	Try another Microsoft account	components\ui\ErrorModal.vue
app.error-modal.try-another-account.description	Double check you've signed in with the right account. You may own Minecraft on a different Microsoft account.	components\ui\ErrorModal.vue
app.error-modal.try-another-account.button	Try another account	components\ui\ErrorModal.vue
app.error-modal.game-pass.title	Using PC Game Pass, coming from Bedrock, or just bought the game?	components\ui\ErrorModal.vue
app.error-modal.game-pass.description	Try signing in with the official Minecraft Launcher first. Once you're done, come back here and sign in!	components\ui\ErrorModal.vue
app.error-modal.try-signing-in-again	Try signing in again	components\ui\ErrorModal.vue
app.error-modal.change-directory-permissions	Change directory permissions	components\ui\ErrorModal.vue
app.error-modal.change-directory-permissions.description	It looks like the Modrinth App is unable to write to the directory you selected. Please adjust the permissions of the directory and try again or cancel the directory change.	components\ui\ErrorModal.vue
app.error-modal.not-enough-space	Not enough space	components\ui\ErrorModal.vue
app.error-modal.not-enough-space.description	It looks like there is not enough space on the disk containing the directory you selected. Please free up some space and try again or cancel the directory change.	components\ui\ErrorModal.vue
app.error-modal.migrate-failed.description	The Modrinth App is unable to migrate to the new directory you selected. Please contact support for help or cancel the directory change.	components\ui\ErrorModal.vue
app.error-modal.retry-directory-change	Retry directory change	components\ui\ErrorModal.vue
app.error-modal.cancel-directory-change	Cancel directory change	components\ui\ErrorModal.vue
app.error-modal.sign-in-to-play.description	To play this instance, you must sign in through Microsoft below. If you don't have a Minecraft account, you can purchase the game on the Minecraft website.	components\ui\ErrorModal.vue
app.error-modal.sign-in-to-minecraft	Sign in to Minecraft	components\ui\ErrorModal.vue
app.error-modal.state-init.description	Modrinth App failed to load correctly. This may be because of a corrupted file, or because the app is missing crucial files.	components\ui\ErrorModal.vue
app.error-modal.state-init.fix	You may be able to fix it through one of the following ways:	components\ui\ErrorModal.vue
app.error-modal.state-init.fix-1	Ensuring you are connected to the internet, then try restarting the app.	components\ui\ErrorModal.vue
app.error-modal.state-init.fix-2	Redownloading the app.	components\ui\ErrorModal.vue
app.error-modal.no-loader.description	The Modrinth App failed to find the loader version for this instance.	components\ui\ErrorModal.vue
app.error-modal.no-loader.fix	To resolve this, you need to repair the instance. Click the button below to do so.	components\ui\ErrorModal.vue
app.error-modal.repair-instance	Repair instance	components\ui\ErrorModal.vue
app.error-modal.support.description	If nothing is working and you need help, visit our support page and start a chat using the widget in the bottom right and we will be more than happy to assist! Make sure to provide the following debug information to the agent:	components\ui\ErrorModal.vue
app.error-modal.get-support	Get support	components\ui\ErrorModal.vue
app.error-modal.close	Close	components\ui\ErrorModal.vue
app.error-modal.debug-info	Debug information	components\ui\ErrorModal.vue
app.error-modal.copy-debug-info	Copy debug info	components\ui\ErrorModal.vue
app.error-modal.no-error-message	No error message.	components\ui\ErrorModal.vue
app.export-modal.header	Export modpack	components\ui\ExportModal.vue
app.export-modal.modpack-name-label	Modpack name	components\ui\ExportModal.vue
app.export-modal.modpack-name-placeholder	Modpack name	components\ui\ExportModal.vue
app.export-modal.version-number-label	Version number	components\ui\ExportModal.vue
app.export-modal.version-number-placeholder	1.0.0	components\ui\ExportModal.vue
app.export-modal.description-placeholder	Enter modpack description...	components\ui\ExportModal.vue
app.export-modal.export-button	Export	components\ui\ExportModal.vue
app.export-modal.format-label	Format	components\ui\ExportModal.vue
app.export-modal.format.mrpack	Modrinth (.mrpack)	components\ui\ExportModal.vue
app.export-modal.format.zip	ZIP archive (.zip)	components\ui\ExportModal.vue
app.home.random-mods.title	Random mod spotlight	components\ui\home\HomeRandomMods.vue
app.home.random-mods.reroll	Reroll	components\ui\home\HomeRandomMods.vue
app.home.recent-screenshots.title	Recent screenshots	components\ui\home\HomeRecentScreenshots.vue
app.home.system-status.title	System & quick actions	components\ui\home\HomeSystemStatus.vue
app.home.system-status.java-versions	Java versions	components\ui\home\HomeSystemStatus.vue
app.home.system-status.system-memory	System memory	components\ui\home\HomeSystemStatus.vue
app.home.system-status.instances	Instances	components\ui\home\HomeSystemStatus.vue
app.home.system-status.new-instance	New instance	components\ui\home\HomeSystemStatus.vue
app.home.system-status.browse-modpacks	Browse modpacks	components\ui\home\HomeSystemStatus.vue
app.home.update-reminders.title	Updates available	components\ui\home\HomeUpdateReminders.vue
app.home.update-reminders.new-version	New version	components\ui\home\HomeUpdateReminders.vue
app.home.update-reminders.update	Update	components\ui\home\HomeUpdateReminders.vue
app.add-server-modal.header	Add server to instance	components\ui\install_flow\AddServerToInstanceModal.vue
app.add-server-modal.warning	This server may not be compatible with all instances.	components\ui\install_flow\AddServerToInstanceModal.vue
app.add-server-modal.search-placeholder	Search for an instance	components\ui\install_flow\AddServerToInstanceModal.vue
app.add-server-modal.adding	Adding...	components\ui\install_flow\AddServerToInstanceModal.vue
app.add-server-modal.added	Added	components\ui\install_flow\AddServerToInstanceModal.vue
app.add-server-modal.add	Add	components\ui\install_flow\AddServerToInstanceModal.vue
app.add-server-modal.cancel	Cancel	components\ui\install_flow\AddServerToInstanceModal.vue
app.instance-card.stop	Stop	components\ui\Instance.vue
app.instance-card.play	Play	components\ui\Instance.vue
app.instance-card.loading	Instance is loading...	components\ui\Instance.vue
app.instance-card.installing	Installing...	components\ui\Instance.vue
app.instance-card.repair	Repair	components\ui\Instance.vue
